--- Atoms: 
SYBILS('5919') Truth=[0.97]
SYBILS('5918') Truth=[0.96]
SYBILS('5917') Truth=[0.97]
SYBILS('5915') Truth=[0.98]
SYBILS('5911') Truth=[0.98]
SYBILS('5907') Truth=[0.98]
SYBILS('61097') Truth=[0.83]
SYBILS('61098') Truth=[0.83]
SYBILS('5905') Truth=[0.99]
SYBILS('61096') Truth=[0.83]
SYBILS('5903') Truth=[0.98]
SYBILS('61091') Truth=[0.75]
SYBILS('5901') Truth=[0.99]
SYBILS('5900') Truth=[0.8]
SYBILS('61090') Truth=[0.83]
SYBILS('4609') Truth=[1]
SYBILS('5938') Truth=[0.97]
SYBILS('4607') Truth=[0.99]
SYBILS('5937') Truth=[0.99]
SYBILS('4603') Truth=[1]
SYBILS('4602') Truth=[0.99]
SYBILS('4601') Truth=[0.99]
SYBILS('5926') Truth=[0.98]
SYBILS('5925') Truth=[0.99]
SYBILS('5923') Truth=[0.99]
SYBILS('5921') Truth=[0.99]
SYBILS('48089') Truth=[0.91]
SYBILS('62399') Truth=[0.8]
SYBILS('61067') Truth=[0.91]
SYBILS('62396') Truth=[0.88]
SYBILS('61065') Truth=[0.94]
SYBILS('62395') Truth=[0.96]
SYBILS('48086') Truth=[0.91]
SYBILS('61061') Truth=[0.85]
SYBILS('48080') Truth=[0.67]
SYBILS('62390') Truth=[0.69]
SYBILS('48081') Truth=[0.92]
SYBILS('61059') Truth=[0.85]
SYBILS('62386') Truth=[0.79]
SYBILS('61053') Truth=[0.9]
SYBILS('62385') Truth=[0.7]
SYBILS('61054') Truth=[0.9]
SYBILS('62383') Truth=[0.94]
SYBILS('48097') Truth=[0.91]
SYBILS('61050') Truth=[0.98]
SYBILS('61086') Truth=[0.9]
SYBILS('61082') Truth=[0.87]
SYBILS('61081') Truth=[0.86]
SYBILS('61078') Truth=[0.9]
SYBILS('61074') Truth=[0.91]
SYBILS('14708') Truth=[0.97]
SYBILS('14711') Truth=[0.98]
SYBILS('14712') Truth=[0.97]
SYBILS('14716') Truth=[0.97]
SYBILS('14702') Truth=[0.97]
SYBILS('14706') Truth=[0.97]
SYBILS('38707') Truth=[0.92]
SYBILS('38706') Truth=[0.92]
SYBILS('38711') Truth=[0.94]
SYBILS('38719') Truth=[0.95]
SYBILS('38718') Truth=[0.95]
SYBILS('26734') Truth=[0.95]
SYBILS('25403') Truth=[0.66]
