--- Atoms: 
SYBILS('5914') Truth=[0.92]
SYBILS('5909') Truth=[0.99]
SYBILS('61099') Truth=[1]
SYBILS('61097') Truth=[1]
SYBILS('61098') Truth=[1]
SYBILS('61093') Truth=[1]
SYBILS('61094') Truth=[1]
SYBILS('4600') Truth=[0.99]
SYBILS('5939') Truth=[0.99]
SYBILS('4603') Truth=[1]
SYBILS('5933') Truth=[0.99]
SYBILS('5932') Truth=[1]
SYBILS('5928') Truth=[0.99]
SYBILS('61068') Truth=[1]
SYBILS('61063') Truth=[1]
SYBILS('61061') Truth=[1]
SYBILS('48081') Truth=[1]
SYBILS('62388') Truth=[1]
SYBILS('61055') Truth=[1]
SYBILS('62387') Truth=[1]
SYBILS('61051') Truth=[1]
SYBILS('62383') Truth=[1]
SYBILS('48095') Truth=[1]
SYBILS('61052') Truth=[1]
SYBILS('62382') Truth=[1]
SYBILS('48094') Truth=[1]
SYBILS('61050') Truth=[1]
SYBILS('62380') Truth=[1]
SYBILS('48090') Truth=[1]
SYBILS('61089') Truth=[1]
SYBILS('61085') Truth=[1]
SYBILS('61082') Truth=[1]
SYBILS('61081') Truth=[1]
SYBILS('61073') Truth=[1]
SYBILS('61071') Truth=[1]
SYBILS('14707') Truth=[0.98]
SYBILS('14713') Truth=[0.98]
SYBILS('14700') Truth=[0.99]
SYBILS('38700') Truth=[1]
SYBILS('38703') Truth=[1]
SYBILS('38701') Truth=[1]
SYBILS('38711') Truth=[1]
SYBILS('38715') Truth=[1]
SYBILS('38714') Truth=[1]
SYBILS('38713') Truth=[1]
SYBILS('38712') Truth=[1]
SYBILS('25402') Truth=[0.98]
SYBILS('26735') Truth=[0.99]
SYBILS('25405') Truth=[0.98]
SYBILS('26737') Truth=[0.98]
SYBILS('25406') Truth=[0.98]
SYBILS('25407') Truth=[0.98]
SYBILS('25408') Truth=[0.98]
SYBILS('26731') Truth=[1]
SYBILS('25400') Truth=[1]
SYBILS('25401') Truth=[1]
SYBILS('13423') Truth=[0.99]
SYBILS('14757') Truth=[1]
SYBILS('13425') Truth=[0.99]
SYBILS('14759') Truth=[1]
SYBILS('13429') Truth=[0.99]
SYBILS('13420') Truth=[0.99]
SYBILS('14750') Truth=[0.99]
SYBILS('14753') Truth=[0.99]
SYBILS('13421') Truth=[0.99]
SYBILS('26724') Truth=[0.99]
SYBILS('26725') Truth=[0.99]
SYBILS('26728') Truth=[1]
SYBILS('14746') Truth=[0.99]
SYBILS('13411') Truth=[0.99]
SYBILS('14741') Truth=[0.99]
SYBILS('14729') Truth=[0.95]
SYBILS('14733') Truth=[0.95]
SYBILS('13401') Truth=[0.99]
SYBILS('13404') Truth=[0.99]
SYBILS('26705') Truth=[0.99]
SYBILS('14722') Truth=[0.98]
SYBILS('14724') Truth=[0.97]
SYBILS('14728') Truth=[0.95]
SYBILS('51612') Truth=[1]
SYBILS('52944') Truth=[1]
SYBILS('26657') Truth=[1]
SYBILS('25327') Truth=[0.99]
SYBILS('52946') Truth=[1]
SYBILS('26659') Truth=[1]
SYBILS('51615') Truth=[1]
SYBILS('25329') Truth=[0.97]
SYBILS('51616') Truth=[1]
SYBILS('51617') Truth=[1]
SYBILS('27981') Truth=[0.97]
SYBILS('25320') Truth=[0.97]
SYBILS('25321') Truth=[0.99]
SYBILS('40962') Truth=[0.71]
SYBILS('26653') Truth=[1]
SYBILS('64930') Truth=[1]
SYBILS('40960') Truth=[1]
SYBILS('64931') Truth=[0.99]
SYBILS('25324') Truth=[0.97]
SYBILS('40961') Truth=[1]
SYBILS('64932') Truth=[1]
SYBILS('14678') Truth=[0.99]
SYBILS('39977') Truth=[1]
SYBILS('38645') Truth=[1]
SYBILS('14677') Truth=[1]
SYBILS('64923') Truth=[1]
SYBILS('13346') Truth=[0.99]
SYBILS('39979') Truth=[1]
SYBILS('12018') Truth=[0.98]
SYBILS('14679') Truth=[0.99]
SYBILS('40959') Truth=[1]
SYBILS('38641') Truth=[1]
SYBILS('37310') Truth=[1]
SYBILS('38640') Truth=[0.99]
SYBILS('64929') Truth=[1]
SYBILS('14672') Truth=[0.98]
SYBILS('12010') Truth=[0.98]
SYBILS('39973') Truth=[1]
SYBILS('12012') Truth=[0.98]
SYBILS('14673') Truth=[0.98]
SYBILS('51620') Truth=[1]
SYBILS('38648') Truth=[1]
SYBILS('52950') Truth=[1]
SYBILS('12014') Truth=[0.98]
SYBILS('51622') Truth=[1]
SYBILS('37315') Truth=[1]
SYBILS('13344') Truth=[0.99]
SYBILS('25314') Truth=[0.96]
SYBILS('51601') Truth=[1]
SYBILS('27977') Truth=[0.92]
SYBILS('26646') Truth=[1]
SYBILS('27976') Truth=[0.97]
SYBILS('51602') Truth=[1]
SYBILS('52932') Truth=[1]
SYBILS('51603') Truth=[1]
SYBILS('27979') Truth=[0.97]
SYBILS('52935') Truth=[1]
SYBILS('25317') Truth=[0.97]
SYBILS('51604') Truth=[1]
SYBILS('25319') Truth=[0.98]
SYBILS('27970') Truth=[0.99]
SYBILS('40973') Truth=[1]
SYBILS('27973') Truth=[0.99]
SYBILS('3290') Truth=[0.99]
SYBILS('25311') Truth=[0.97]
SYBILS('40974') Truth=[1]
SYBILS('25313') Truth=[0.99]
SYBILS('12004') Truth=[0.99]
SYBILS('14667') Truth=[0.99]
SYBILS('38656') Truth=[1]
SYBILS('37325') Truth=[1]
SYBILS('14666') Truth=[0.98]
SYBILS('12006') Truth=[0.99]
SYBILS('64913') Truth=[0.99]
SYBILS('37323') Truth=[1]
SYBILS('13338') Truth=[0.98]
SYBILS('3289') Truth=[0.99]
SYBILS('15998') Truth=[0.98]
SYBILS('14668') Truth=[0.99]
SYBILS('3286') Truth=[1]
SYBILS('37321') Truth=[1]
SYBILS('64916') Truth=[1]
SYBILS('3284') Truth=[0.99]
SYBILS('64919') Truth=[0.99]
SYBILS('15992') Truth=[0.87]
SYBILS('14661') Truth=[0.99]
SYBILS('39982') Truth=[1]
SYBILS('15990') Truth=[0.87]
SYBILS('14660') Truth=[0.99]
SYBILS('39984') Truth=[1]
SYBILS('15996') Truth=[0.95]
SYBILS('14662') Truth=[0.98]
SYBILS('37328') Truth=[1]
SYBILS('13331') Truth=[0.97]
SYBILS('15993') Truth=[0.78]
SYBILS('12002') Truth=[0.98]
SYBILS('39986') Truth=[1]
SYBILS('25303') Truth=[0.97]
SYBILS('49314') Truth=[1]
SYBILS('51634') Truth=[1]
SYBILS('50303') Truth=[1]
SYBILS('52966') Truth=[1]
SYBILS('50304') Truth=[1]
SYBILS('27965') Truth=[0.98]
SYBILS('26636') Truth=[0.99]
SYBILS('25305') Truth=[0.97]
SYBILS('49312') Truth=[1]
SYBILS('52968') Truth=[1]
SYBILS('51637') Truth=[1]
SYBILS('50306') Truth=[1]
SYBILS('52967') Truth=[1]
SYBILS('49311') Truth=[1]
SYBILS('52969') Truth=[1]
SYBILS('40980') Truth=[1]
SYBILS('40981') Truth=[1]
SYBILS('27960') Truth=[0.97]
SYBILS('63617') Truth=[1]
SYBILS('40984') Truth=[1]
SYBILS('49318') Truth=[1]
SYBILS('27962') Truth=[0.99]
SYBILS('27961') Truth=[0.99]
SYBILS('49316') Truth=[1]
SYBILS('64954') Truth=[1]
SYBILS('27963') Truth=[0.98]
SYBILS('14656') Truth=[0.5]
SYBILS('64944') Truth=[1]
SYBILS('63623') Truth=[1]
SYBILS('15989') Truth=[0.8]
SYBILS('37335') Truth=[1]
SYBILS('13324') Truth=[1]
SYBILS('15986') Truth=[0.99]
SYBILS('14658') Truth=[0.99]
SYBILS('36002') Truth=[1]
SYBILS('64946') Truth=[1]
SYBILS('63621') Truth=[1]
SYBILS('14657') Truth=[0.98]
SYBILS('40976') Truth=[1]
SYBILS('38664') Truth=[1]
SYBILS('64948') Truth=[1]
SYBILS('14659') Truth=[0.99]
SYBILS('37331') Truth=[0.99]
SYBILS('38661') Truth=[1]
SYBILS('39991') Truth=[1]
SYBILS('39992') Truth=[1]
SYBILS('39993') Truth=[1]
SYBILS('51640') Truth=[1]
SYBILS('15984') Truth=[0.98]
SYBILS('14652') Truth=[1]
SYBILS('13321') Truth=[0.98]
SYBILS('52973') Truth=[1]
SYBILS('15985') Truth=[0.98]
SYBILS('51642') Truth=[1]
SYBILS('50311') Truth=[1]
SYBILS('37339') Truth=[1]
SYBILS('15982') Truth=[0.99]
