4579	237
1680	9117
541	6719
4160	6747
1962	2424
2283	58
7781	7791
2324	3376
5104	779
3543	1460
4515	3067
2912	7772
9117	7388
3975	2508
4070	6090
1354	1138
6839	2531
9954	6518
5934	6893
4464	231
6073	7402
616	7243
1163	1449
1183	826
3451	3324
5099	3586
2481	8229
3833	1924
5960	7307
7805	5578
7032	5275
8379	8934
1413	5967
7204	8319
3172	7297
1456	3794
3470	1852
9478	7216
7367	8408
1661	1400
1773	9129
8696	907
3522	4974
4334	3944
5589	7064
2194	2195
1945	4024
2410	1958
3625	3044
6487	3771
9883	3081
1720	1652
8497	840
4701	3134
111	835
1358	2962
9827	6004
1360	3767
1403	7920
1807	715
3341	2313
2839	1383
1413	3112
5549	5452
8695	907
8274	7101
8615	8613
325	3387
1870	2211
883	1685
2552	2067
3044	3625
6323	6055
3165	1119
6511	6986
2871	2285
2226	43
3996	1720
847	3212
7586	7260
4070	1117
7967	5705
2367	4870
3342	6733
2314	5717
1520	1696
5208	9154
5695	7135
7074	599
2862	7178
4483	237
1354	1031
3055	5030
5163	820
6880	7268
5388	4721
6985	1510
8638	3927
2189	2341
5014	3403
9805	7735
1741	8875
9129	9166
5739	5630
3255	7979
5488	7016
3629	7836
4029	2814
7792	6447
1953	6530
1117	3612
4686	3391
1332	2102
2968	8710
1009	971
3255	4742
2375	1305
7123	7636
4961	4673
5265	2149
1921	3238
2138	2902
2550	2067
708	4826
9965	7079
1345	7840
4987	6563
3963	503
9762	9407
6518	2735
7416	9473
4100	5698
8380	8940
171	7219
737	8149
4634	565
6985	8194
8676	4690
8661	7775
3175	9455
9307	9559
9290	9509
4051	1917
6724	1135
5070	6631
8135	6914
8020	2458
8443	2837
7937	1358
9135	3546
3845	4635
4073	4072
7012	3559
7907	1798
833	1920
4070	6034
1732	2703
3492	5800
3417	6331
8005	58
966	3333
2022	5388
2184	6107
4447	6378
647	1524
2882	4213
4746	5870
5660	9548
6215	7744
9805	4823
3583	2412
3635	611
4250	2503
643	8083
5676	1785
4590	2150
7053	8233
7987	6536
7971	3380
908	1615
2929	2214
3466	4913
7522	6189
3583	6267
5482	3835
9982	7696
2523	3870
7598	8558
9283	6680
4707	745
3494	3501
6588	6572
2940	9884
3492	5804
4113	4269
6196	2962
238	4656
7987	5532
3032	5191
9907	7138
5968	6322
9548	5660
3365	8798
8979	8551
60	2519
594	7046
1945	6218
9152	9846
2993	339
7549	4658
3968	8198
2795	1919
9474	8395
4436	6138
4139	583
9571	8972
6091	1972
1947	1611
616	7248
7727	8975
225	4473
3603	5414
9757	9395
7806	8462
9549	3675
1720	3542
1704	610
3400	4277
9329	9227
9120	4780
6546	2279
5269	6854
1354	2266
1764	5205
2506	668
3903	5511
3503	1179
5492	4972
313	6013
3492	5808
1496	1961
6159	7466
1667	4265
2250	4769
4195	2783
8791	3957
5012	3625
4745	4730
1944	2344
9329	9212
5671	7116
9376	1932
3769	237
1109	9247
1888	2245
9360	9236
9696	9372
3409	3143
5718	9993
3632	6614
2198	34
8875	8878
1857	1418
2968	4374
7356	6311
9493	9912
541	6718
2802	4120
3524	1935
3433	4217
9166	9129
3591	6423
721	9700
2492	7346
4774	3366
6862	1219
2503	3838
5985	7332
7351	8400
9414	9259
8742	7935
6087	7422
5747	2917
7424	7426
6161	3754
2460	6159
2285	3499
8429	3087
5534	3061
616	7244
7874	6571
7103	7938
6178	7504
8828	5648
4245	5981
1956	1773
3628	5162
2397	804
8271	7052
8092	8095
3222	502
6190	7186
1291	3811
3627	7994
3522	4975
5449	1836
2286	6443
2054	2141
5584	758
2217	6185
4570	5611
8866	4345
6843	9893
5868	5085
1391	2352
5735	5519
5593	6448
902	5016
7866	6573
2749	4016
4291	2196
1397	1889
1619	4079
5891	6482
7187	4059
3130	4204
6736	7974
9641	8018
9961	9746
6841	3390
5901	5902
6214	2172
1732	3062
1970	3135
1426	4984
6992	1265
6170	3925
8760	8967
7092	8257
3152	7444
8290	1739
130	7343
3430	1639
4185	2860
8513	3836
5189	827
1472	2334
1732	2708
1935	237
6745	5142
5317	6507
6132	4436
3520	882
1413	5248
6580	6588
9901	2082
5488	7017
1248	1895
7661	6294
3651	8610
2413	5093
8956	9608
9304	9463
7039	7063
6732	3069
880	1766
2138	2903
8161	740
8738	1132
6503	6571
