2781	2236	0
4290	1367	0
2744	843	0
498	4234	0
497	2823	0
4217	4216	1
2933	17	1
4114	3318	1
569	293	0
1990	1252	0
2641	1483	0
4388	4389	0
3929	3636	0
2892	4559	0
3753	3002	1
3817	4081	0
498	3769	0
4383	2677	1
4276	4273	0
1394	2456	0
3741	87	1
1583	843	1
3592	3593	0
4546	4988	0
4497	760	0
4922	1367	0
1185	2410	0
493	426	0
1557	849	0
70	2692	1
3769	3772	0
3570	2523	1
3761	4750	1
1009	2443	0
1005	3329	0
4301	979	0
3090	2624	0
1245	1280	0
769	4551	0
3752	1263	0
4053	2855	0
4956	610	0
1188	2509	0
3271	2256	1
1483	2917	0
2709	1483	0
387	2867	0
2299	2875	1
4024	87	1
3752	4292	0
3997	3996	0
1526	1031	1
306	3858	0
2118	1376	0
3329	1005	0
3950	1901	0
2840	448	0
2772	704	0
4936	598	1
2798	1674	0
1699	4956	0
3481	185	0
2662	1769	0
1908	2637	0
2690	595	0
1869	2807	0
4673	1670	0
293	560	0
1964	1176	0
2456	4287	1
3749	1990	1
2916	3581	1
2709	2641	1
1093	2207	0
4139	3403	0
3423	3442	0
4169	3679	0
3684	4301	0
1100	410	0
4910	4936	1
2781	1253	0
1480	2709	0
4298	3591	0
1331	2609	0
2535	3679	0
3766	3767	0
1013	3972	1
2136	3813	0
2772	275	0
4948	4018	1
4686	1666	0
3581	2916	0
3834	4082	1
2238	2892	1
1491	87	0
1176	1280	0
2902	1651	0
652	1579	0
2929	1347	1
1320	3357	1
1721	834	0
1367	2652	0
1379	1381	0
2994	4516	0
1948	4282	0
4151	1872	0
4920	2460	0
3514	3813	1
1237	2410	0
1796	2127	0
630	1331	1
1857	4584	0
1093	4285	0
4234	4705	0
102	4412	0
3746	4420	0
638	1298	0
1500	1497	0
3481	189	0
3523	534	0
545	547	0
1581	1013	0
2753	2899	0
4155	1872	0
1339	3997	1
4489	1544	0
187	189	0
1411	2056	0
4533	301	0
2389	2527	0
3454	3541	0
87	70	0
1056	1211	0
69	70	0
1382	1379	0
1676	2798	0
2809	2810	0
737	2277	0
4075	4078	0
2335	1237	1
2283	3049	0
1399	2547	0
