--- Atoms: 
SYBILS('5919') Truth=[0.29]
SYBILS('5918') Truth=[0.39]
SYBILS('5917') Truth=[0.68]
SYBILS('5916') Truth=[0.62]
SYBILS('5915') Truth=[0.31]
SYBILS('5914') Truth=[0.49]
SYBILS('5913') Truth=[0.39]
SYBILS('5912') Truth=[0.36]
SYBILS('5911') Truth=[0.3]
SYBILS('5910') Truth=[0.32]
SYBILS('5909') Truth=[0.31]
SYBILS('5908') Truth=[0.18]
SYBILS('5907') Truth=[0.25]
SYBILS('5906') Truth=[0.33]
SYBILS('5905') Truth=[0.38]
SYBILS('5904') Truth=[0.18]
SYBILS('5903') Truth=[0.34]
SYBILS('61094') Truth=[0.87]
SYBILS('5902') Truth=[0.34]
SYBILS('5901') Truth=[0.41]
SYBILS('5900') Truth=[0.67]
SYBILS('61090') Truth=[0.87]
SYBILS('5931') Truth=[0.25]
SYBILS('5930') Truth=[0.28]
SYBILS('5939') Truth=[0.26]
SYBILS('5938') Truth=[0.36]
SYBILS('5937') Truth=[0.31]
SYBILS('5936') Truth=[0.28]
SYBILS('5935') Truth=[0.41]
SYBILS('5934') Truth=[0.33]
SYBILS('5933') Truth=[0.3]
SYBILS('5932') Truth=[0.33]
SYBILS('5929') Truth=[0.34]
SYBILS('5920') Truth=[0.21]
SYBILS('5928') Truth=[0.27]
SYBILS('5927') Truth=[0.39]
SYBILS('5926') Truth=[0.42]
SYBILS('5925') Truth=[0.33]
SYBILS('5924') Truth=[0.33]
SYBILS('5923') Truth=[0.3]
SYBILS('5922') Truth=[0.27]
SYBILS('5921') Truth=[0.28]
SYBILS('48089') Truth=[0.89]
SYBILS('61069') Truth=[0.9]
SYBILS('48084') Truth=[0.89]
SYBILS('61062') Truth=[0.86]
SYBILS('48083') Truth=[0.56]
SYBILS('48086') Truth=[0.91]
SYBILS('61060') Truth=[0.86]
SYBILS('48085') Truth=[0.89]
SYBILS('48082') Truth=[0.92]
SYBILS('48099') Truth=[0.94]
SYBILS('48098') Truth=[0.94]
SYBILS('61057') Truth=[0.86]
SYBILS('61058') Truth=[0.9]
SYBILS('61055') Truth=[0.97]
SYBILS('61053') Truth=[0.96]
SYBILS('61054') Truth=[0.96]
SYBILS('61052') Truth=[0.93]
SYBILS('48097') Truth=[0.93]
SYBILS('61050') Truth=[0.99]
SYBILS('61078') Truth=[0.98]
SYBILS('61075') Truth=[0.9]
SYBILS('61070') Truth=[0.94]
SYBILS('14708') Truth=[0.15]
SYBILS('14707') Truth=[0.22]
SYBILS('14709') Truth=[0.37]
SYBILS('14711') Truth=[0.43]
SYBILS('14710') Truth=[0.15]
SYBILS('14713') Truth=[0.15]
SYBILS('14712') Truth=[0.22]
