--- Atoms: 
SYBILS('85077') Truth=[0.98]
SYBILS('85078') Truth=[0.96]
SYBILS('85079') Truth=[0.93]
SYBILS('85073') Truth=[0.97]
SYBILS('85071') Truth=[0.96]
SYBILS('85072') Truth=[0.97]
SYBILS('61099') Truth=[0.98]
SYBILS('85084') Truth=[0.97]
SYBILS('61096') Truth=[0.98]
SYBILS('85086') Truth=[0.97]
SYBILS('61093') Truth=[0.93]
SYBILS('61094') Truth=[0.98]
SYBILS('85087') Truth=[0.96]
SYBILS('61091') Truth=[0.95]
SYBILS('85082') Truth=[0.96]
SYBILS('61090') Truth=[0.98]
SYBILS('99694') Truth=[0.85]
SYBILS('99695') Truth=[0.84]
SYBILS('99691') Truth=[0.96]
SYBILS('85055') Truth=[0.98]
SYBILS('85053') Truth=[0.96]
SYBILS('85067') Truth=[0.98]
SYBILS('85068') Truth=[0.98]
SYBILS('85069') Truth=[0.96]
SYBILS('85063') Truth=[0.85]
SYBILS('85064') Truth=[0.98]
SYBILS('85060') Truth=[0.98]
SYBILS('99679') Truth=[0.86]
SYBILS('99675') Truth=[0.95]
SYBILS('99677') Truth=[0.97]
SYBILS('99670') Truth=[0.97]
SYBILS('85038') Truth=[0.88]
SYBILS('85039') Truth=[0.96]
SYBILS('61066') Truth=[0.99]
SYBILS('85033') Truth=[0.81]
SYBILS('61062') Truth=[0.99]
SYBILS('61060') Truth=[0.66]
SYBILS('75699') Truth=[0.98]
SYBILS('99685') Truth=[0.85]
SYBILS('75697') Truth=[0.98]
SYBILS('99686') Truth=[0.95]
SYBILS('75694') Truth=[0.97]
SYBILS('75695') Truth=[0.98]
SYBILS('99688') Truth=[0.94]
SYBILS('99681') Truth=[0.95]
SYBILS('75690') Truth=[0.98]
SYBILS('75691') Truth=[0.98]
SYBILS('99684') Truth=[0.85]
SYBILS('61058') Truth=[0.98]
SYBILS('61055') Truth=[0.99]
SYBILS('85045') Truth=[0.98]
SYBILS('85040') Truth=[0.93]
SYBILS('99654') Truth=[0.81]
SYBILS('99655') Truth=[0.8]
SYBILS('85008') Truth=[0.81]
SYBILS('85009') Truth=[0.97]
SYBILS('85015') Truth=[0.92]
SYBILS('85018') Truth=[0.98]
SYBILS('61089') Truth=[0.98]
SYBILS('85014') Truth=[0.97]
SYBILS('85010') Truth=[0.93]
SYBILS('61081') Truth=[0.97]
SYBILS('99667') Truth=[0.95]
SYBILS('99668') Truth=[0.97]
SYBILS('99663') Truth=[0.81]
SYBILS('99664') Truth=[0.94]
SYBILS('99662') Truth=[0.75]
SYBILS('85027') Truth=[0.94]
SYBILS('61077') Truth=[0.99]
SYBILS('61075') Truth=[0.98]
SYBILS('85025') Truth=[0.97]
SYBILS('61076') Truth=[0.98]
SYBILS('61073') Truth=[0.98]
SYBILS('61071') Truth=[0.98]
SYBILS('61072') Truth=[0.98]
SYBILS('61070') Truth=[0.98]
SYBILS('26733') Truth=[0.99]
SYBILS('26730') Truth=[0.99]
SYBILS('128404') Truth=[0.9]
SYBILS('128402') Truth=[0.9]
SYBILS('104396') Truth=[0.93]
SYBILS('104399') Truth=[0.87]
SYBILS('128407') Truth=[0.81]
SYBILS('26722') Truth=[0.98]
SYBILS('104393') Truth=[0.92]
SYBILS('26728') Truth=[0.99]
SYBILS('26721') Truth=[0.98]
SYBILS('128413') Truth=[0.91]
SYBILS('128411') Truth=[0.79]
SYBILS('128412') Truth=[0.95]
SYBILS('128410') Truth=[0.81]
SYBILS('104385') Truth=[0.93]
SYBILS('104389') Truth=[0.86]
SYBILS('128419') Truth=[0.86]
SYBILS('128417') Truth=[0.89]
SYBILS('128418') Truth=[0.91]
SYBILS('26711') Truth=[0.97]
SYBILS('104380') Truth=[0.83]
SYBILS('26714') Truth=[0.98]
SYBILS('26715') Truth=[0.98]
SYBILS('104383') Truth=[0.84]
SYBILS('26717') Truth=[0.98]
SYBILS('104384') Truth=[0.89]
SYBILS('128430') Truth=[0.82]
SYBILS('128426') Truth=[0.93]
SYBILS('85099') Truth=[0.95]
SYBILS('128421') Truth=[0.77]
SYBILS('85096') Truth=[0.98]
SYBILS('104377') Truth=[0.83]
SYBILS('128429') Truth=[0.89]
SYBILS('26700') Truth=[0.98]
SYBILS('26701') Truth=[0.98]
SYBILS('26706') Truth=[0.99]
SYBILS('128435') Truth=[0.9]
SYBILS('128436') Truth=[0.87]
SYBILS('128431') Truth=[0.82]
SYBILS('104364') Truth=[0.94]
SYBILS('104366') Truth=[0.88]
SYBILS('104368') Truth=[0.5]
SYBILS('26658') Truth=[0.98]
SYBILS('51615') Truth=[0.98]
SYBILS('104483') Truth=[0.84]
