4093	1176	0
68	726	1
2781	2236	0
4992	4718	0
4941	1198	0
3517	3520	0
2879	387	1
3005	1568	0
4290	1367	1
1884	4546	0
2744	843	1
498	4234	0
497	2998	0
2807	1866	0
2197	4112	0
4846	94	0
2916	1975	0
2781	1656	0
2197	779	0
2692	4024	0
463	2671	1
2879	93	0
631	628	0
4114	3318	0
4299	2919	1
1990	1252	1
714	625	0
1990	1143	0
2772	4410	1
4388	4389	0
2533	2234	0
1092	4216	0
2789	4095	0
2863	2638	0
4309	2170	0
843	652	1
306	1327	1
3771	4705	0
1721	3570	0
1427	2922	0
4922	3558	0
4052	4053	1
641	143	0
3929	3636	0
2781	3749	1
4164	3817	1
4287	1394	0
3753	3002	1
4705	4234	1
726	4024	0
631	463	0
2660	1769	1
3817	4081	0
4383	2677	0
4227	4228	0
1394	2456	0
1990	2192	0
498	3771	0
3592	3593	0
1237	2355	1
1371	4141	0
2261	3527	0
4990	1427	0
1856	4056	0
1092	4217	0
2420	849	0
4546	4988	0
4497	760	1
4309	4299	0
3515	4247	1
1237	2353	0
726	3741	0
1491	2692	1
3454	497	1
1185	2410	0
2641	2917	0
3005	1558	1
2609	1331	0
1557	849	0
260	2262	0
4298	4944	0
72	4106	0
70	2692	0
2744	4382	1
3570	2523	1
3912	4051	1
3222	3196	0
1399	1852	0
1009	2443	0
385	1374	1
2411	1398	0
1327	495	0
1005	3329	0
2633	2147	0
498	3766	0
69	2692	0
189	2509	0
2155	1811	1
3749	2192	0
293	572	0
1307	1298	0
2411	3607	0
4660	1427	1
93	387	0
3921	2874	0
4641	3496	1
1475	1478	0
1092	4218	1
4412	1422	0
2389	2899	0
3752	1263	0
2902	3471	0
2389	2220	1
1398	3506	0
2692	726	1
530	643	0
3271	2256	1
2755	1983	1
569	2010	0
1483	2917	0
4956	1711	0
1964	1116	0
3912	4052	0
2110	368	0
2373	994	0
3017	727	0
4274	4221	0
559	1497	0
547	545	0
1298	1307	1
2390	2755	0
3294	565	0
685	2384	0
498	3767	0
565	4299	0
2456	1394	0
2299	2875	0
2659	1769	0
4024	87	0
1394	3950	1
116	3925	0
493	2384	1
3026	3851	0
4990	4660	0
3556	2472	0
4389	4388	0
4360	1525	0
4382	843	1
2744	1399	1
2535	2536	1
4292	2261	0
4648	4033	0
4169	2536	0
4382	4405	0
1399	2549	0
2390	2753	0
4249	140	0
2118	1376	0
3869	3888	0
4051	4053	0
4189	4468	0
4412	102	0
2583	368	0
4151	1310	0
306	2007	0
2533	2527	0
2772	704	0
568	3329	0
2746	4077	0
4936	598	0
2798	1674	1
493	3740	0
1699	4956	0
3175	4533	0
2662	1769	0
1908	2637	0
2690	595	0
4234	498	0
4673	1670	0
2440	3002	0
2262	4190	0
293	560	0
