--- Atoms: 
SYBILS('85077') Truth=[0.99]
SYBILS('85079') Truth=[0.98]
SYBILS('85075') Truth=[0.99]
SYBILS('85071') Truth=[0.99]
SYBILS('85084') Truth=[0.99]
SYBILS('85086') Truth=[0.99]
SYBILS('85087') Truth=[0.99]
SYBILS('85081') Truth=[0.94]
SYBILS('85082') Truth=[0.96]
SYBILS('85083') Truth=[0.99]
SYBILS('85059') Truth=[0.98]
SYBILS('85054') Truth=[0.97]
SYBILS('85069') Truth=[0.99]
SYBILS('85062') Truth=[0.99]
SYBILS('85063') Truth=[0.92]
SYBILS('85064') Truth=[0.99]
SYBILS('85061') Truth=[0.99]
SYBILS('99675') Truth=[0.84]
SYBILS('99671') Truth=[0.94]
SYBILS('99672') Truth=[0.99]
SYBILS('99685') Truth=[0.96]
SYBILS('99686') Truth=[0.99]
SYBILS('85048') Truth=[0.99]
SYBILS('99658') Truth=[0.98]
SYBILS('99652') Truth=[0.9]
SYBILS('99653') Truth=[0.98]
SYBILS('85008') Truth=[0.94]
SYBILS('85016') Truth=[0.99]
SYBILS('85017') Truth=[0.98]
SYBILS('85010') Truth=[0.99]
SYBILS('99664') Truth=[0.98]
SYBILS('99665') Truth=[0.98]
SYBILS('99662') Truth=[0.96]
SYBILS('85019') Truth=[0.97]
SYBILS('85029') Truth=[0.94]
SYBILS('85022') Truth=[0.95]
SYBILS('85024') Truth=[0.99]
SYBILS('85021') Truth=[0.99]
SYBILS('26733') Truth=[0.13]
SYBILS('26734') Truth=[0.12]
SYBILS('26735') Truth=[0.08]
SYBILS('26736') Truth=[0.12]
SYBILS('26737') Truth=[0.15]
SYBILS('26738') Truth=[0.11]
SYBILS('26739') Truth=[0.34]
SYBILS('26730') Truth=[0.13]
SYBILS('26731') Truth=[0.17]
SYBILS('26732') Truth=[0.08]
SYBILS('26722') Truth=[0.13]
SYBILS('26723') Truth=[0.15]
SYBILS('26724') Truth=[0.15]
SYBILS('26725') Truth=[0.16]
SYBILS('104392') Truth=[0.99]
SYBILS('26726') Truth=[0.15]
SYBILS('26727') Truth=[0.4]
SYBILS('26728') Truth=[0.17]
SYBILS('26729') Truth=[0.13]
SYBILS('26720') Truth=[0.13]
SYBILS('26721') Truth=[0.1]
SYBILS('104385') Truth=[0.67]
SYBILS('26719') Truth=[0.14]
SYBILS('104386') Truth=[0.99]
SYBILS('104387') Truth=[0.98]
SYBILS('104389') Truth=[0.95]
SYBILS('26711') Truth=[0.42]
SYBILS('26712') Truth=[0.11]
SYBILS('26713') Truth=[0.13]
SYBILS('104380') Truth=[0.97]
SYBILS('26714') Truth=[0.19]
SYBILS('26715') Truth=[0.1]
SYBILS('26716') Truth=[0.15]
SYBILS('26717') Truth=[0.23]
SYBILS('26718') Truth=[0.1]
SYBILS('26710') Truth=[0.13]
SYBILS('104374') Truth=[0.98]
SYBILS('85095') Truth=[0.98]
SYBILS('26708') Truth=[0.13]
SYBILS('85096') Truth=[1]
SYBILS('26709') Truth=[0.12]
SYBILS('104378') Truth=[0.98]
SYBILS('85092') Truth=[0.98]
SYBILS('26700') Truth=[0.1]
SYBILS('26701') Truth=[0.1]
SYBILS('26702') Truth=[0.21]
SYBILS('26703') Truth=[0.13]
SYBILS('26704') Truth=[0.2]
SYBILS('104371') Truth=[0.96]
SYBILS('26705') Truth=[0.17]
SYBILS('26706') Truth=[0.23]
SYBILS('26707') Truth=[0.16]
SYBILS('104366') Truth=[0.95]
SYBILS('104369') Truth=[0.94]
SYBILS('26656') Truth=[0.18]
SYBILS('51612') Truth=[0.13]
SYBILS('143969') Truth=[0.96]
SYBILS('26657') Truth=[0.14]
SYBILS('51613') Truth=[0.17]
SYBILS('26658') Truth=[0.09]
SYBILS('51614') Truth=[0.12]
SYBILS('26659') Truth=[0.16]
SYBILS('51615') Truth=[0.09]
SYBILS('51616') Truth=[0.13]
SYBILS('104481') Truth=[0.98]
SYBILS('51617') Truth=[0.15]
SYBILS('104482') Truth=[0.98]
SYBILS('51618') Truth=[0.14]
SYBILS('51619') Truth=[0.13]
SYBILS('26650') Truth=[0.26]
SYBILS('26651') Truth=[0.22]
SYBILS('26652') Truth=[0.15]
SYBILS('26653') Truth=[0.14]
SYBILS('26654') Truth=[0.17]
SYBILS('26655') Truth=[0.17]
SYBILS('12015') Truth=[0.14]
SYBILS('12016') Truth=[0.38]
SYBILS('12017') Truth=[0.16]
SYBILS('12018') Truth=[0.18]
SYBILS('12019') Truth=[0.19]
SYBILS('143961') Truth=[0.83]
SYBILS('104474') Truth=[0.94]
SYBILS('143962') Truth=[0.93]
SYBILS('12010') Truth=[0.1]
SYBILS('143964') Truth=[0.97]
SYBILS('12011') Truth=[0.18]
SYBILS('12012') Truth=[0.17]
SYBILS('51620') Truth=[0.15]
SYBILS('12013') Truth=[0.15]
SYBILS('51621') Truth=[0.09]
SYBILS('12014') Truth=[0.18]
SYBILS('51622') Truth=[0.09]
SYBILS('143957') Truth=[0.93]
SYBILS('26645') Truth=[0.14]
SYBILS('51601') Truth=[0.09]
SYBILS('143958') Truth=[0.95]
SYBILS('26646') Truth=[0.2]
SYBILS('51602') Truth=[0.51]
SYBILS('143959') Truth=[0.97]
SYBILS('26647') Truth=[0.24]
SYBILS('51603') Truth=[0.12]
SYBILS('26648') Truth=[0.09]
SYBILS('51604') Truth=[0.38]
SYBILS('26649') Truth=[0.15]
SYBILS('51605') Truth=[0.1]
SYBILS('51606') Truth=[0.14]
SYBILS('51607') Truth=[0.1]
SYBILS('104472') Truth=[0.96]
SYBILS('51608') Truth=[0.13]
SYBILS('51609') Truth=[0.08]
SYBILS('26640') Truth=[0.24]
SYBILS('26641') Truth=[0.31]
SYBILS('26642') Truth=[0.16]
SYBILS('26643') Truth=[0.19]
SYBILS('26644') Truth=[0.2]
SYBILS('12004') Truth=[0.17]
SYBILS('12005') Truth=[0.18]
SYBILS('12006') Truth=[0.16]
SYBILS('12007') Truth=[0.17]
SYBILS('12008') Truth=[0.17]
SYBILS('12009') Truth=[0.15]
SYBILS('143950') Truth=[0.93]
SYBILS('143953') Truth=[0.93]
SYBILS('12000') Truth=[0.14]
SYBILS('143954') Truth=[0.62]
SYBILS('12001') Truth=[0.2]
SYBILS('12002') Truth=[0.18]
SYBILS('51610') Truth=[0.09]
SYBILS('104469') Truth=[0.98]
SYBILS('12003') Truth=[0.15]
SYBILS('51611') Truth=[0.4]
SYBILS('51634') Truth=[0.14]
SYBILS('26635') Truth=[0.17]
SYBILS('51635') Truth=[0.08]
SYBILS('26636') Truth=[0.09]
SYBILS('51636') Truth=[0.11]
SYBILS('26637') Truth=[0.15]
SYBILS('51637') Truth=[0.15]
SYBILS('26638') Truth=[0.31]
SYBILS('51638') Truth=[0.16]
SYBILS('26639') Truth=[0.28]
SYBILS('51639') Truth=[0.09]
SYBILS('104460') Truth=[0.94]
SYBILS('104461') Truth=[0.55]
SYBILS('26630') Truth=[0.16]
SYBILS('26631') Truth=[0.13]
SYBILS('26632') Truth=[0.15]
SYBILS('26633') Truth=[0.14]
SYBILS('104459') Truth=[0.99]
SYBILS('143982') Truth=[0.95]
SYBILS('104451') Truth=[0.98]
SYBILS('104452') Truth=[0.97]
SYBILS('51640') Truth=[0.09]
SYBILS('51641') Truth=[0.53]
SYBILS('51642') Truth=[0.14]
SYBILS('51643') Truth=[0.12]
SYBILS('143989') Truth=[0.95]
SYBILS('51644') Truth=[0.12]
SYBILS('26623') Truth=[0.35]
SYBILS('51623') Truth=[0.15]
SYBILS('26624') Truth=[0.16]
SYBILS('26625') Truth=[0.15]
SYBILS('51625') Truth=[0.15]
SYBILS('26626') Truth=[0.16]
SYBILS('51626') Truth=[0.16]
SYBILS('26627') Truth=[0.09]
SYBILS('51627') Truth=[0.09]
SYBILS('26628') Truth=[0.18]
SYBILS('51628') Truth=[0.09]
SYBILS('26629') Truth=[0.12]
SYBILS('51629') Truth=[0.16]
